created_at,user_id_str,text,Content_category,Audience_category,Content_source
Fri Jan 31 13:00:26 +0000 2020,894074714,Chinese brand communism is far more dangerous than any coronovirus outbreak.,opinion,General,First-hand
Fri Jan 31 13:01:10 +0000 2020,3061806541,@Notre_Josh I went to buy some masks and then I noticed that they were all made in China. I was afraid that they'd be infected.,opinion,General,First-hand
Fri Jan 31 13:03:19 +0000 2020,9.44E+17,"While y’all sleeping, all the medical masks sold out in all the pharmacies #coronavirus",opinion,General,First-hand
Fri Jan 31 13:05:12 +0000 2020,540323179,Is the Corona virus like the Budweiser flu?,question,General,First-hand
Fri Jan 31 13:09:11 +0000 2020,17501977,"With the coronavirus spreading, we're all wondering, is the next pandemic coming? - The Washington Post https://t.co/E9F37oGFss",fact,General,Secondary
Fri Jan 31 13:11:45 +0000 2020,1886570257,"Traffic ban, Do Not Travel to China. Um yeah. Never planned to.  #coronavirus https://t.co/8RNPomg3C7",opinion,General,First-hand
Fri Jan 31 13:11:48 +0000 2020,9.36E+17,"Coronavirus update. 10000 cases, 2 months. Level 4 travel ban now includes China. In comparison, SARS 8000 cases 8 months. Just the beginning",fact,General,Secondary
Fri Jan 31 13:13:14 +0000 2020,50427352,"Coronavirus Case Suspected in Djibouti, Where US and China Base Troops https://t.co/iZeQiEC6iQ",fact,local/personalized,Secondary
Fri Jan 31 13:16:40 +0000 2020,114249657,"Coronavirus could become a major security threat in developing countries, military commanders warn https://t.co/aQWT1SUYPD",fact,General,Secondary
Fri Jan 31 13:26:20 +0000 2020,1.15E+18,sir I may upset some folks saying this but we all deserve recovery 🙋 in treatment I heard it over&amp;over we start where we are no matter where hope springs eternal we all have common ground (the earth) we all enjoy Oxygen water our phones etc. or a nice meal @Apple 🌍🙏👩‍🎓☮️📿✝️ 🍏 https://t.co/UdfB14knFA,opinion,General,First-hand
Fri Jan 31 13:26:49 +0000 2020,496284926,Is it weird that I’ve been reading/researching a lot about coronavirus .,opinion,local/personalized,First-hand
Fri Jan 31 13:36:24 +0000 2020,2178310401,"You are spitting on real victims of sexual violence with your lies just to gain notoriety. It’s disgusting, and so are you. If #coronavirus was a person, it would be you #FridayThoughts #WalkAwayFromDemocrats #WalkAway #MAGA2020Landslide #crazy #LiberalismIsAMentalDisease https://t.co/evUBzveYMF",opinion,General,First-hand
Fri Jan 31 13:42:17 +0000 2020,372350619,"I know this is all in the service of trying to stop the #coronavirus outbreak, but there is something deeply disturbing &amp; dystopian about this drone surveillance of ordinary civilians. https://t.co/g0drXJ3BIB",opinion,General,Secondary
Fri Jan 31 13:43:07 +0000 2020,112542289,This girl on Facebook says she knows a patient at Lutheran Hospital that has the coronavirus. It’s really not that big of a deal. It’s literally just the common cold but CAN turn into MERS / SARS for those with susceptible immune systems.,opinion,local/personalized,First-hand
Fri Jan 31 13:43:56 +0000 2020,3281244384,Maybe shut the hell up if you don't live in China bro? Maybe consider lives that has been killed and is still being killed because of this shit government? Dont fucking defend it  because it is actually killing us who has to live there while you live in freedom :),opinion,General,First-hand
Fri Jan 31 13:46:04 +0000 2020,9.49E+17,Capitalism replied with brutal honesty to World Health Organization’s Emergency Committee.  “I think it will help to accelerate the return of jobs to North America.” https://t.co/v8dXLYEJUf,opinion,General,Secondary
Fri Jan 31 13:49:13 +0000 2020,9544202,Can someone smart explain why the US has begun a travel ban to China but we’re not halting flights from China. Doesnot seem like this makes much sense.,opinion,General,First-hand
